timestamp,price,market_cap,volume
2024-09-14 12:17:58,59794.75427824437,1179449369500.2231,30456674488.864475
2024-09-14 13:06:14,59776.159657963886,1180818795868.8557,30975870688.28202
2024-09-14 14:10:51,59793.05620420053,1181151344891.8416,26523042210.28331
2024-09-14 15:15:19,59966.60767673061,1184575329860.225,27833819805.8884
2024-09-14 16:03:01,59890.30652647748,1183151963901.98,24719992341.42168
2024-09-14 17:14:23,59910.77636141386,1184620727962.8667,22534078084.385754
2024-09-14 18:09:08,59841.35086761201,1183104916754.093,21148455994.345306
2024-09-14 19:17:49,59780.44873391363,1180479504192.7268,21122894209.132305
2024-09-14 20:04:00,59823.33175552341,1181904762869.4033,19548426571.95684
2024-09-14 21:15:29,59975.26978669294,1184727634971.801,19627086833.751915
2024-09-14 22:03:18,60064.75264543763,1186592072130.5876,14033638829.869658
2024-09-14 23:14:59,60064.432134572024,1186552462835.154,14768895642.836746
2024-09-15 00:01:49,60013.882041044,1185346883603.6545,16010817957.006763
2024-09-15 01:13:27,60126.50434134393,1187337141658.279,15294159620.236698
2024-09-15 02:18:37,60169.79899717741,1189105668283.4521,14877125195.918423
2024-09-15 03:13:53,60220.14355588191,1189629544055.2322,13154675485.45605
2024-09-15 04:14:56,60209.40011532449,1188999576831.146,13486369886.155762
2024-09-15 05:17:14,60174.848181359004,1188609903620.2866,13740595344.45451
2024-09-15 06:22:20,60152.179161967026,1188264728518.0098,11636316304.562607
2024-09-15 07:22:56,60152.50056428418,1188165215242.363,13363425720.666336
2024-09-15 08:01:59,60204.4991581917,1189300207094.317,11948133998.732101
2024-09-15 09:18:37,60070.699708137254,1186713167607.9983,12560400185.22768
2024-09-15 10:23:41,59980.01117210122,1184918503490.1038,11412052293.726028
2024-09-15 11:01:14,59997.748304015346,1185491036347.8958,12343799218.01183
2024-09-15 12:16:15,59972.170926690655,1185451325982.7725,11091601723.631409
2024-09-15 13:05:36,60080.54021760577,1186230558098.476,11521676619.153282
2024-09-15 14:16:57,60020.80352274349,1187888146540.1526,11948065521.2492
2024-09-15 15:24:54,60251.898335166276,1189358652519.6492,12892001657.520235
2024-09-15 16:24:25,60241.044621817106,1189588381144.4202,13027048058.269056
2024-09-15 17:15:49,59867.17271162391,1181528385842.3188,13327097998.963974
2024-09-15 18:18:13,59817.63931653717,1181948563843.126,11031518691.637226
2024-09-15 19:06:43,60139.49558241954,1185681523949.8494,13943638900.953657
2024-09-15 20:25:55,59934.89630185745,1183988435847.2632,13265228499.823977
2024-09-15 21:09:47,59622.2393902769,1179367747211.5247,14236819802.587107
2024-09-15 22:24:47,59418.21608572046,1173532811443.377,15187146892.83535
2024-09-15 23:22:03,58949.11369730079,1162494013054.9204,16460342736.533535
2024-09-16 00:15:43,58962.86324377677,1165442982498.694,18337531493.740253
2024-09-16 01:11:39,58689.43905998534,1159036445846.7888,18948832383.51626
2024-09-16 02:25:48,58442.9634176284,1152320191919.8926,21173338818.708607
2024-09-16 03:26:41,58373.35584330864,1153274476939.6719,21486488160.468193
2024-09-16 04:00:19,58579.58396190821,1156706930752.749,20880198810.690247
2024-09-16 05:03:29,58321.09535637939,1152265976206.6375,22775616450.751923
2024-09-16 06:01:45,58602.93079593577,1157650944614.4922,23615893761.010376
2024-09-16 07:04:32,58680.7927891159,1159607764796.45,20254364961.072636
2024-09-16 08:15:45,58929.764480198406,1162752822157.6401,23065164532.48006
2024-09-16 09:11:46,58982.52543925611,1165579915413.702,24713332783.82216
2024-09-16 10:20:51,58610.714110205,1156949342734.0579,27194995983.552532
2024-09-16 11:21:40,58800.54160959564,1161465945675.8848,24871502376.06345
2024-09-16 12:15:48,58765.12817618118,1158626678983.4143,28037932826.327576
2024-09-16 13:28:56,58499.64650639906,1155915312604.1958,26346904539.865765
2024-09-16 14:21:27,58374.725818389015,1152012771845.6772,30215678628.376965
2024-09-16 15:24:14,57912.77735736806,1142178172180.4714,29054691117.724895
2024-09-16 16:13:21,57905.67320656069,1143052928742.34,31845826548.208237
2024-09-16 17:01:23,57860.077940136594,1143786467429.2827,29839497126.245663
2024-09-16 18:04:37,58176.37890208296,1149790960477.773,30864411479.602417
2024-09-16 19:04:06,57863.95250925426,1141080367141.5967,34188697458.593964
2024-09-16 20:06:55,57890.44885024387,1143724300363.4673,34162380401.66064
2024-09-16 21:30:29,57884.533124725094,1142919614114.3083,34083894777.208496
2024-09-16 22:24:44,57986.08347484864,1145318850327.3987,33291593455.353455
2024-09-16 23:26:44,58236.257445578536,1149867729632.7842,31305194172.61776
2024-09-17 00:26:23,58251.27267436425,1151107754108.7722,31746210526.781677
2024-09-17 01:22:02,57767.78226883802,1141121988031.8215,21181052568.721634
2024-09-17 02:20:38,57839.48097393634,1142545500213.1504,30002818200.29191
2024-09-17 03:15:50,58098.16699183134,1148093104366.6453,28933666882.531586
2024-09-17 04:12:14,58129.353688610405,1147185897582.5417,29115620470.28405
2024-09-17 05:07:06,58264.61830815356,1150628021200.1375,28159250825.20728
2024-09-17 06:08:43,58532.70872200161,1158684098101.556,28567713161.912827
2024-09-17 07:12:03,58569.71835994324,1155998183210.4885,27964438585.153416
2024-09-17 08:18:18,58790.090047016616,1160324595690.8445,28204604156.47676
2024-09-17 09:21:58,58722.162538473516,1160841435694.832,27913266966.478203
2024-09-17 10:28:12,59094.149237134654,1166628833382.9404,25304140000.9373
2024-09-17 11:23:44,59055.53531671722,1165972436837.0525,28622183247.95751
2024-09-17 12:13:52,59228.508480328026,1168038125708.899,28947689079.657063
2024-09-17 13:23:02,59284.755003367514,1170489432535.0198,29699683860.347218
2024-09-17 14:07:57,59163.77955715653,1165353525476.0718,29055841321.759052
2024-09-17 15:26:05,61231.62129710131,1209713384715.2197,29428077396.750866
2024-09-17 16:07:29,61202.01968568921,1208014836722.8987,35826700052.41475
2024-09-17 17:00:19,60970.25348144018,1201643135679.792,34327355736.5697
2024-09-17 18:08:03,60976.857374660656,1204816086147.5571,35794988816.68902
2024-09-17 19:12:21,60563.415830997714,1196078682230.9526,33571348311.163513
2024-09-17 20:18:19,59973.9506205091,1184015219677.5725,37719678237.46303
2024-09-17 21:29:08,60375.03695473223,1191995392005.718,38432353810.018005
2024-09-17 22:28:22,60174.66622543997,1188950913372.9602,34569259904.33748
2024-09-17 23:27:29,60155.64411695945,1187817605928.6301,38297570199.67322
2024-09-18 00:22:26,60061.88485600524,1186992192262.5723,38345053076.503105
2024-09-18 01:22:34,60163.834722174084,1186710268404.3386,38417592301.10885
2024-09-18 02:03:03,60124.06622749374,1187212448643.4583,38555210579.77414
2024-09-18 03:03:01,60367.12638253788,1192394490410.7383,39013354549.00227
